"","drama_name","drama_type"
"1","Move to Heaven","Korean Drama - 2021, 10 episodes"
"2","Nirvana in Fire","Chinese Drama - 2015, 54 episodes"
"3","Flower of Evil","Korean Drama - 2020, 16 episodes"
"4","Hospital Playlist","Korean Drama - 2020, 12 episodes"
"5","Hospital Playlist 2","Korean Drama - 2021, 12 episodes"
"6","My Mister","Korean Drama - 2018, 16 episodes"
"7","Reply 1988","Korean Drama - 2015, 20 episodes"
"8","The Untamed","Chinese Drama - 2019, 50 episodes"
"9","Reset","Chinese Drama - 2022, 15 episodes"
"10","Prison Playbook","Korean Drama - 2017, 16 episodes"
"11","Joy of Life","Chinese Drama - 2019, 46 episodes"
"12","Extraordinary Attorney Woo","Korean Drama - 2022, 16 episodes"
"13","Alchemy of Souls","Korean Drama - 2022, 20 episodes"
"14","1 Litre no Namida","Japanese Drama - 2005, 11 episodes"
"15","Mr. Queen","Korean Drama - 2020, 20 episodes"
"16","Mother","Korean Drama - 2018, 16 episodes"
"17","It's Okay to Not Be Okay","Korean Drama - 2020, 16 episodes"
"18","Someday or One Day","Taiwanese Drama - 2019, 13 episodes"
"19","Love Like the Galaxy: Part 2","Chinese Drama - 2022, 29 episodes"
"20","Go Ahead","Chinese Drama - 2020, 46 episodes"
